,categories,delivery.id,delivery.provider.icon.name,delivery.provider.icon.prefix,delivery.provider.icon.sizes,delivery.provider.name,delivery.url,hasPerk,id,location.address,location.cc,location.city,location.country,location.crossStreet,location.distance,location.formattedAddress,location.labeledLatLngs,location.lat,location.lng,location.postalCode,Rating,name,referralId,venuePage.id
0,"[{'id': '4bf58dd8d48988d1d1941735', 'name': 'Noodle House', 'pluralName': 'Noodle Houses', 'shortName': 'Noodles', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/ramen_', 'suffix': '.png'}, 'primary': True}]",867441,/delivery_provider_seamless_20180129.png,https://fastly.4sqi.net/img/general/cap/,"[40, 50]",seamless,https://www.seamless.com/menu/zutto-77-hudson-st-new-york/867441?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=867441,False,4b78ac62f964a52047dd2ee3,77 Hudson St,US,New York,United States,Harrison St and Worth St.,694,"['77 Hudson St (Harrison St and Worth St.)', 'New York, NY 10013', 'United States']","[{'label': 'display', 'lat': 40.7185655837561, 'lng': -74.00891273768076}, {'label': 'entrance', 'lat': 40.718459, 'lng': -74.009006}]",40.7185655837561,-74.00891273768076,10013,8.2,Zutto Japanese American Pub,v-1592882895,42701794
1,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4e6aaea3d164c37bf4b2539d,104 John St,US,New York,United States,at Cliff St,558,"['104 John St (at Cliff St)', 'New York, NY 10038', 'United States']","[{'label': 'display', 'lat': 40.70771408081055, 'lng': -74.0062255859375}]",40.70771408081055,-74.0062255859375,10038,8.4,Sumo Japanese Cuisine,v-1592882895,
2,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",1536134,/delivery_provider_seamless_20180129.png,https://fastly.4sqi.net/img/general/cap/,"[40, 50]",seamless,https://www.seamless.com/menu/en-japanese-brasserie-435-hudson-st-new-york/1536134?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=1536134,False,42055e00f964a5206e1f1fe3,435 Hudson St,US,New York,United States,at Leroy St.,1957,"['435 Hudson St (at Leroy St.)', 'New York, NY 10014', 'United States']","[{'label': 'display', 'lat': 40.730297083045144, 'lng': -74.00695716911856}]",40.730297083045144,-74.00695716911856,10014,8.8,EN Japanese Brasserie,v-1592882895,103057123
3,"[{'id': '4bf58dd8d48988d142941735', 'name': 'Asian Restaurant', 'pluralName': 'Asian Restaurants', 'shortName': 'Asian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4b7736b9f964a5206b882ee3,96 Bowery,US,New York,United States,btw Hester & Grand,1051,"['96 Bowery (btw Hester & Grand)', 'New York, NY 10013', 'United States']","[{'label': 'display', 'lat': 40.71758147589841, 'lng': -73.99533004707291}]",40.71758147589841,-73.99533004707291,10013,NaN,Emperor Japanese Tapas Shabu,v-1592882895,
4,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",296743,/delivery_provider_seamless_20180129.png,https://fastly.4sqi.net/img/general/cap/,"[40, 50]",seamless,https://www.seamless.com/menu/hana-111-rivington-st-new-york/296743?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=296743,False,5d3f702fc18f5d0007ceada8,111 Rivington St,US,New York,United States,,1714,"['111 Rivington St', 'New York, NY 10002', 'United States']","[{'label': 'display', 'lat': 40.719773, 'lng': -73.987947}]",40.719773,-73.987947,10002,5.2,Hana Japanese Cuisine,v-1592882895,557281975
5,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",298297,/delivery_provider_seamless_20180129.png,https://fastly.4sqi.net/img/general/cap/,"[40, 50]",seamless,https://www.seamless.com/menu/kaede-90-chambers-st-new-york/298297?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=298297,False,5464f27c498e2e01c60151af,90 Chambers St,US,New York,United States,,236,"['90 Chambers St', 'New York, NY 10007', 'United States']","[{'label': 'display', 'lat': 40.71462286117167, 'lng': -74.00727042164348}]",40.71462286117167,-74.00727042164348,10007,6.4,Kaede Japanese Restaurant,v-1592882895,
6,"[{'id': '4bf58dd8d48988d1d2941735', 'name': 'Sushi Restaurant', 'pluralName': 'Sushi Restaurants', 'shortName': 'Sushi', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}, 'primary': True}]",281525,/delivery_provider_seamless_20180129.png,https://fastly.4sqi.net/img/general/cap/,"[40, 50]",seamless,https://www.seamless.com/menu/suteishi-24-peck-slip-new-york/281525?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=281525,False,45a38e32f964a520ee401fe3,24 Peck Slip,US,New York,United States,btwn Front & Water St,649,"['24 Peck Slip (btwn Front & Water St)', 'New York, NY 10038', 'United States']","[{'label': 'display', 'lat': 40.707807603285566, 'lng': -74.0018892288208}, {'label': 'entrance', 'lat': 40.707755, 'lng': -74.001838}]",40.707807603285566,-74.0018892288208,10038,8.4,SUteiShi Japanese Restaurant,v-1592882895,52817650
7,"[{'id': '4bf58dd8d48988d142941735', 'name': 'Asian Restaurant', 'pluralName': 'Asian Restaurants', 'shortName': 'Asian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}, 'primary': True}]",315168,/delivery_provider_seamless_20180129.png,https://fastly.4sqi.net/img/general/cap/,"[40, 50]",seamless,https://www.seamless.com/menu/ozu-japanese-cuisine-78-clark-st-brooklyn/315168?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=315168,False,4ba7fa26f964a5208cc339e3,78 Clark St,US,Brooklyn,United States,btw Henry & Hicks,2001,"['78 Clark St (btw Henry & Hicks)', 'Brooklyn, NY 11201', 'United States']","[{'label': 'display', 'lat': 40.697513, 'lng': -73.993369}]",40.697513,-73.993369,11201,7.1,Ozu Japanese Cuisine & Lounge,v-1592882895,76879661
8,"[{'id': '4bf58dd8d48988d1ff941735', 'name': 'Miscellaneous Shop', 'pluralName': 'Miscellaneous Shops', 'shortName': 'Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/default_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,52ba2914498e565780aa9115,,US,New York,United States,,642,"['New York, NY', 'United States']","[{'label': 'display', 'lat': 40.714336, 'lng': -73.998701}, {'label': 'entrance', 'lat': 40.714278, 'lng': -73.998671}]",40.714336,-73.998701,,,Japanese Supermarket,v-1592882895,
9,"[{'id': '4bf58dd8d48988d128951735', 'name': 'Gift Shop', 'pluralName': 'Gift Shops', 'shortName': 'Gift Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/giftshop_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,525dd5f311d24f5e606f5d4a,,US,New York,United States,,685,"['New York, NY', 'United States']","[{'label': 'display', 'lat': 40.715313, 'lng': -73.998637}]",40.715313,-73.998637,,,Japanese Anime Souvenir Toys And Games,v-1592882895,
10,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4e4e4c34bd4101d0d7a71f7d,325 Broadway,US,New York,United States,,382,"['325 Broadway', 'New York, NY 10007', 'United States']","[{'label': 'display', 'lat': 40.71612035753943, 'lng': -74.00527813637986}]",40.71612035753943,-74.00527813637986,10007,NaN,Aoi Japanese Restaurant,v-1592882895,
11,"[{'id': '4d4b7105d754a06374d81259', 'name': 'Food', 'pluralName': 'Food', 'shortName': 'Food', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4f326c4819836c91c7d658ff,59 Nassau St,US,New York,United States,,452,"['59 Nassau St', 'New York, NY 10038', 'United States']","[{'label': 'display', 'lat': 40.709251403808594, 'lng': -74.00879669189453}]",40.709251403808594,-74.00879669189453,10038,7.6,Nagoya Japanese Restaurant,v-1592882895,
12,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4c45d523dd1f2d7f64c681f9,59 Nassau St,US,New York,United States,,452,"['59 Nassau St', 'New York, NY 10038', 'United States']","[{'label': 'display', 'lat': 40.709251403808594, 'lng': -74.00879669189453}]",40.709251403808594,-74.00879669189453,10038,NaN,Mana Japanese,v-1592882895,
13,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4e4c4fbdbd413c4cc66869c3,49 Fulton St,US,New York,United States,,536,"['49 Fulton St', 'New York, NY 10038', 'United States']","[{'label': 'entrance', 'lat': 40.708304, 'lng': -74.004433}, {'label': 'display', 'lat': 40.708168029785156, 'lng': -74.00395965576172}]",40.708168029785156,-74.00395965576172,10038,7.6,Nagoya Japanese Restaurant,v-1592882895,
14,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,48208c8cf964a520894f1fe3,805 3rd Ave,US,New York,United States,btwn E 49th & E 50th St,5629,"['805 3rd Ave (btwn E 49th & E 50th St)', 'New York, NY 10022', 'United States']","[{'label': 'display', 'lat': 40.755730504250046, 'lng': -73.9708969487331}]",40.755730504250046,-73.9708969487331,10022,8.6,Gyu-Kaku Japanese BBQ,v-1592882895,
15,"[{'id': '4bf58dd8d48988d1d2941735', 'name': 'Sushi Restaurant', 'pluralName': 'Sushi Restaurants', 'shortName': 'Sushi', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4a8cb3fff964a520ed0e20e3,259 1st Ave,US,New York,United States,at E 15th St.,2954,"['259 1st Ave (at E 15th St.)', 'New York, NY 10003', 'United States']","[{'label': 'display', 'lat': 40.732248999999996, 'lng': -73.982291}, {'label': 'entrance', 'lat': 40.732195, 'lng': -73.982163}]",40.732248999999996,-73.982291,10003,NaN,Ruby's Japanese & Thai,v-1592882895,
16,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4ef0d81fbe7ba3ed7c2296d2,321 W 44th St,US,New York,United States,btwn 8th & 9th Ave,5328,"['321 W 44th St (btwn 8th & 9th Ave)', 'New York, NY 10036', 'United States']","[{'label': 'display', 'lat': 40.75904160050783, 'lng': -73.99004327793013}]",40.75904160050783,-73.99004327793013,10036,8.6,Gyu-Kaku Japanese BBQ,v-1592882895,
17,"[{'id': '55a59bace4b013909087cb24', 'name': 'Ramen Restaurant', 'pluralName': 'Ramen Restaurants', 'shortName': 'Ramen', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/ramen_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,55fa0bd4498e3a875e4e34ff,45 Bayard St,US,New York,United States,,799,"['45 Bayard St', 'New York, NY 10013', 'United States']","[{'label': 'display', 'lat': 40.71524803870191, 'lng': -73.9971465386204}]",40.71524803870191,-73.9971465386204,10013,NaN,AA Japanese Ramen,v-1592882895,
18,"[{'id': '4d4b7105d754a06374d81259', 'name': 'Food', 'pluralName': 'Food', 'shortName': 'Food', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4f326cc019836c91c7d689dc,265 Canal St,US,New York,United States,,794,"['265 Canal St', 'New York, NY 10013', 'United States']","[{'label': 'display', 'lat': 40.718785, 'lng': -74.001024}]",40.718785,-74.001024,10013,NaN,Koi Japanese Restaurant,v-1592882895,
19,"[{'id': '4bf58dd8d48988d171941735', 'name': 'Event Space', 'pluralName': 'Event Spaces', 'shortName': 'Event Space', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/eventspace_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4be20ec01dd22d7ffa3c93bd,,US,New York,United States,,5215,"['New York, NY 10036', 'United States']","[{'label': 'display', 'lat': 40.75544369348851, 'lng': -73.98061087730353}]",40.75544369348851,-73.98061087730353,10036,,Japanese American Association Of New York,v-1592882895,
20,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",64534,/delivery_provider_seamless_20180129.png,https://fastly.4sqi.net/img/general/cap/,"[40, 50]",seamless,https://www.seamless.com/menu/tataki-japanese-restaurant-3-lispenard-st-new-york/64534?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=64534,False,4a85b541f964a520fdfe1fe3,3 Lispenard St,US,New York,United States,,880,"['3 Lispenard St', 'New York, NY 10013', 'United States']","[{'label': 'display', 'lat': 40.720596, 'lng': -74.00493}, {'label': 'entrance', 'lat': 40.720581, 'lng': -74.004927}]",40.720596,-74.00493,10013,6.2,Tataki Japanese Restaurant,v-1592882895,
21,"[{'id': '4bf58dd8d48988d1f8941735', 'name': 'Furniture / Home Store', 'pluralName': 'Furniture / Home Stores', 'shortName': 'Furniture / Home', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/furniture_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4a8c4222f964a5207a0d20e3,711 3rd Ave,US,New York,United States,at E 45th St.,5249,"['711 3rd Ave (at E 45th St.)', 'New York, NY 10017', 'United States']","[{'label': 'display', 'lat': 40.752658430165006, 'lng': -73.97291038142438}]",40.752658430165006,-73.97291038142438,10017,,Japanese Culinary Center,v-1592882895,
22,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4bba1c4b1261d13a243cea98,10708 70th Rd,US,Forest Hills,United States,btw Austin St & Queens Blvd,13561,"['10708 70th Rd (btw Austin St & Queens Blvd)', 'Forest Hills, NY 11375', 'United States']","[{'label': 'display', 'lat': 40.72079733718884, 'lng': -73.84563896863934}]",40.72079733718884,-73.84563896863934,11375,7.7,Narita Japanese Restaurant,v-1592882895,
