,categories,delivery.id,delivery.provider.icon.name,delivery.provider.icon.prefix,delivery.provider.icon.sizes,delivery.provider.name,delivery.url,hasPerk,id,location.address,location.cc,location.city,location.country,location.crossStreet,location.distance,location.formattedAddress,location.labeledLatLngs,location.lat,location.lng,location.postalCode,Rating,name,referralId,venuePage.id
23,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",461198,/delivery_provider_seamless_20180129.png,https://fastly.4sqi.net/img/general/cap/,"[40, 50]",seamless,https://www.seamless.com/menu/atami-japanese-fusion-1167-2nd-ave-new-york/461198?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=461198,False,5006eaf1e4b0d9eeb5cd67ef,1167 2nd Ave,US,New York,United States,,6582,"['1167 2nd Ave', 'New York, NY 10065', 'United States']","[{'label': 'display', 'lat': 40.762158444759486, 'lng': -73.96317393360368}]",40.762158444759486,-73.96317393360368,10065,7.0,Atami Japanese Fusion,v-1592882895,
24,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4e4c4cf3bd413c4cc6685628,19 S William St,US,New York,United States,,1001,"['19 S William St', 'New York, NY 10004', 'United States']","[{'label': 'display', 'lat': 40.70439529418945, 'lng': -74.010498046875}]",40.70439529418945,-74.010498046875,10004,NaN,Kokura Japanese Restaurant,v-1592882895,
25,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,3fd66200f964a520e0e81ee3,80 Broad St,US,New York,United States,btw West Thames and 3rd St,1053,"['80 Broad St (btw West Thames and 3rd St)', 'New York, NY 10004', 'United States']","[{'label': 'display', 'lat': 40.704249, 'lng': -74.011569}]",40.704249,-74.011569,10004,NaN,Wave Japanese Restaurant,v-1592882895,
26,"[{'id': '4bf58dd8d48988d1d2941735', 'name': 'Sushi Restaurant', 'pluralName': 'Sushi Restaurants', 'shortName': 'Sushi', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}, 'primary': True}]",71415,/delivery_provider_seamless_20180129.png,https://fastly.4sqi.net/img/general/cap/,"[40, 50]",seamless,https://www.seamless.com/menu/osaka-japanese-fusion-2524-broadway-ave-astoria/71415?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=71415,False,4a86ffb1f964a520090220e3,24-25 Broadway,US,Astoria,United States,,8664,"['24-25 Broadway', 'Astoria, NY 11106', 'United States']","[{'label': 'display', 'lat': 40.763054033139525, 'lng': -73.9276589498208}]",40.763054033139525,-73.9276589498208,11106,6.7,Osaka Japanese Restaurant,v-1592882895,
27,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",268954,/delivery_provider_seamless_20180129.png,https://fastly.4sqi.net/img/general/cap/,"[40, 50]",seamless,https://www.seamless.com/menu/amura-1567-2nd-ave-new-york/268954?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=268954,False,4fb93e46e4b0d0dd7eb666c6,1567 2nd Ave,US,New York,United States,,8199,"['1567 2nd Ave', 'New York, NY 10028', 'United States']","[{'label': 'display', 'lat': 40.77492786445796, 'lng': -73.95393883303005}]",40.77492786445796,-73.95393883303005,10028,8.3,Amura Japanese Cuisine,v-1592882895,
28,"[{'id': '4bf58dd8d48988d142941735', 'name': 'Asian Restaurant', 'pluralName': 'Asian Restaurants', 'shortName': 'Asian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4c82924d51ada1cd3ad01d10,,US,New York,United States,,2282,"['New York, NY 10003', 'United States']","[{'label': 'display', 'lat': 40.72801106, 'lng': -73.9879846572876}]",40.72801106,-73.9879846572876,10003,NaN,Japanese Noodle House,v-1592882895,
29,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",284075,/delivery_provider_seamless_20180129.png,https://fastly.4sqi.net/img/general/cap/,"[40, 50]",seamless,https://www.seamless.com/menu/raku-ii-japanese-restaurant-57-w-76th-st-new-york/284075?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=284075,False,4acea43cf964a5208ad120e3,57 W 76th St,US,New York,United States,at Columbus Ave,7887,"['57 W 76th St (at Columbus Ave)', 'New York, NY 10023', 'United States']","[{'label': 'display', 'lat': 40.77999142937673, 'lng': -73.97661045826288}]",40.77999142937673,-73.97661045826288,10023,7.5,Raku It's Japanese II,v-1592882895,96183310
30,"[{'id': '4bf58dd8d48988d1d2941735', 'name': 'Sushi Restaurant', 'pluralName': 'Sushi Restaurants', 'shortName': 'Sushi', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4bde28866c1b9521ac51ad0f,409 8th Ave,US,New York,United States,31st Street,4260,"['409 8th Ave (31st Street)', 'New York, NY 10001', 'United States']","[{'label': 'display', 'lat': 40.750082040220704, 'lng': -73.99501732393351}]",40.750082040220704,-73.99501732393351,10001,7.2,Ichiban Japanese Restaurant,v-1592882895,
31,"[{'id': '4bf58dd8d48988d116951735', 'name': 'Antique Shop', 'pluralName': 'Antique Shops', 'shortName': 'Antiques', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/antique_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,526450c411d206f2e4407fd0,,US,Brooklyn,United States,,2184,"['Brooklyn, NY', 'United States']","[{'label': 'display', 'lat': 40.700734771075496, 'lng': -73.98551953350095}]",40.700734771075496,-73.98551953350095,,,Japanese Antiques,v-1592882895,
32,"[{'id': '4bf58dd8d48988d142941735', 'name': 'Asian Restaurant', 'pluralName': 'Asian Restaurants', 'shortName': 'Asian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4ee3e0732c5b5fc6cbdd92ad,,US,New York,United States,,2172,"['New York, NY 10003', 'United States']","[{'label': 'display', 'lat': 40.72780807052206, 'lng': -73.98966883682196}]",40.72780807052206,-73.98966883682196,10003,NaN,Japanese Bbq,v-1592882895,
33,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4c3b4ae416cb2d7f8b9c02a9,8914 Queens Blvd,US,Elmhurst,United States,btwn 56th & 57th Ave.,11386,"['8914 Queens Blvd (btwn 56th & 57th Ave.)', 'Elmhurst, NY 11373', 'United States']","[{'label': 'display', 'lat': 40.734630357172136, 'lng': -73.87418166369174}]",40.734630357172136,-73.87418166369174,11373,NaN,Tomo Japanese Cafe,v-1592882895,
34,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",1940030,/delivery_provider_seamless_20180129.png,https://fastly.4sqi.net/img/general/cap/,"[40, 50]",seamless,https://www.seamless.com/menu/ni-japanese-deli-88-delancey-st-new-york/1940030?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=1940030,False,5ce9a3ce1af852002cc91d6a,88 Essex St,US,New York,United States,,1601,"['88 Essex St', 'New York, NY 10002', 'United States']","[{'label': 'display', 'lat': 40.71772, 'lng': -73.98821}]",40.71772,-73.98821,10002,NaN,Ni Japanese Deli,v-1592882895,
35,"[{'id': '56aa371be4b08b9a8d573532', 'name': 'Exhibit', 'pluralName': 'Exhibits', 'shortName': 'Exhibit', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/default_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4f49625ae4b04587816e0d44,1000 5th Ave,US,New York,United States,,8397,"['1000 5th Ave', 'New York, NY 10028', 'United States']","[{'label': 'display', 'lat': 40.78056171276338, 'lng': -73.96246097329951}]",40.78056171276338,-73.96246097329951,10028,,Japanese Reading Room,v-1592882895,
36,"[{'id': '4bf58dd8d48988d199941735', 'name': 'College Arts Building', 'pluralName': 'College Arts Buildings', 'shortName': 'Arts', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/default_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4d5b24ce6b2e3704ed237eee,227 W 27th St,US,New York,United States,btwn 7th & 8th,4885,"['227 W 27th St (btwn 7th & 8th)', 'New York, NY 10001', 'United States']","[{'label': 'display', 'lat': 40.75384633914933, 'lng': -73.98576057432156}]",40.75384633914933,-73.98576057432156,10001,,FIT Japanese Class,v-1592882895,
37,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4dc5c324c65b89d3ca77daa3,252 Broome St,US,New York,United States,Ludlow,1498,"['252 Broome St (Ludlow)', 'New York, NJ 10002', 'United States']","[{'label': 'display', 'lat': 40.718204498291016, 'lng': -73.98979187011719}]",40.718204498291016,-73.98979187011719,10002,NaN,Jin Japanese Cuisine,v-1592882895,
38,"[{'id': '4bf58dd8d48988d1d2941735', 'name': 'Sushi Restaurant', 'pluralName': 'Sushi Restaurants', 'shortName': 'Sushi', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}, 'primary': True}]",67534,/delivery_provider_seamless_20180129.png,https://fastly.4sqi.net/img/general/cap/,"[40, 50]",seamless,https://www.seamless.com/menu/ten-japanese-cuisine-440-7th-ave-brooklyn/67534?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=67534,False,4b25858af964a520437324e3,440 7th Ave,US,Brooklyn,United States,at 15th St,5786,"['440 7th Ave (at 15th St)', 'Brooklyn, NY 11215', 'United States']","[{'label': 'display', 'lat': 40.663360452481534, 'lng': -73.98454249519556}, {'label': 'entrance', 'lat': 40.663434, 'lng': -73.984631}]",40.663360452481534,-73.98454249519556,11215,7.6,Ten Japanese Cuisine,v-1592882895,
39,"[{'id': '4bf58dd8d48988d1d2941735', 'name': 'Sushi Restaurant', 'pluralName': 'Sushi Restaurants', 'shortName': 'Sushi', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4fd91c44e4b0d9021d3ee7ca,374 W 46th St,US,New York,United States,9th Ave,5504,"['374 W 46th St (9th Ave)', 'New York, NY 10036', 'United States']","[{'label': 'display', 'lat': 40.760777000000004, 'lng': -73.990584}]",40.760777000000004,-73.990584,10036,NaN,Ai's Sushi Japanese Restaurant,v-1592882895,
40,"[{'id': '4bf58dd8d48988d1d2941735', 'name': 'Sushi Restaurant', 'pluralName': 'Sushi Restaurants', 'shortName': 'Sushi', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4b7c90acf964a520569b2fe3,86-12 A 37th Ave,US,Jackson Heights,United States,btwn 86th & 87th St,11406,"['86-12 A 37th Ave (btwn 86th & 87th St)', 'Jackson Heights, NY 11372', 'United States']","[{'label': 'display', 'lat': 40.75016941828497, 'lng': -73.88014969825647}]",40.75016941828497,-73.88014969825647,11372,7.6,Tomo Japanese Cuisine,v-1592882895,
41,"[{'id': '52f2ab2ebcbc57f1066b8b3d', 'name': 'Pop-Up Shop', 'pluralName': 'Pop-Up Shops', 'shortName': 'Pop-Up Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/default_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,5b943f75471d6e002c757258,150 Wooster St,US,New York,United States,,1580,"['150 Wooster St', 'New York, NY 10012', 'United States']","[{'label': 'display', 'lat': 40.725976, 'lng': -73.999271}]",40.725976,-73.999271,10012,,Shiseido Japanese Beauty Gallery,v-1592882895,
42,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4e4e4aa6bd4101d0d7a6fc27,311 W 48th St,US,New York,United States,,5647,"['311 W 48th St', 'New York, NY 10036', 'United States']","[{'label': 'display', 'lat': 40.76150131225586, 'lng': -73.98757934570312}]",40.76150131225586,-73.98757934570312,10036,NaN,Asahi Japanese Cuisine,v-1592882895,
43,"[{'id': '4bf58dd8d48988d142941735', 'name': 'Asian Restaurant', 'pluralName': 'Asian Restaurants', 'shortName': 'Asian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4b5de807f964a520d47229e3,38-01 31st St,US,Astoria,United States,,7692,"['38-01 31st St', 'Astoria, NY 11101', 'United States']","[{'label': 'display', 'lat': 40.75345047269599, 'lng': -73.9323436512949}]",40.75345047269599,-73.9323436512949,11101,NaN,Tokyo Japanese Kitchen,v-1592882895,
44,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4e4c3b77bd413c4cc667d63c,496 Laguardia Pl,US,New York,United States,,1723,"['496 Laguardia Pl', 'New York, NY 10012', 'United States']","[{'label': 'display', 'lat': 40.727474212646484, 'lng': -73.99978637695312}]",40.727474212646484,-73.99978637695312,10012,NaN,Okinawa Japanese Restaurant,v-1592882895,
45,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4ae5e52bf964a520f2a221e3,142 W Houston St,US,New York,United States,,1728,"['142 W Houston St', 'New York, NY 10012', 'United States']","[{'label': 'display', 'lat': 40.72793266779108, 'lng': -74.00187590525427}]",40.72793266779108,-74.00187590525427,10012,,Koo Japanese Fusion,v-1592882895,
46,"[{'id': '4bf58dd8d48988d1d2941735', 'name': 'Sushi Restaurant', 'pluralName': 'Sushi Restaurants', 'shortName': 'Sushi', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,49c2ede7f964a52044561fe3,122 E 17th St,US,New York,United States,at Irving Pl,3007,"['122 E 17th St (at Irving Pl)', 'New York, NY 10003', 'United States']","[{'label': 'display', 'lat': 40.73586035408156, 'lng': -73.98759305477142}, {'label': 'entrance', 'lat': 40.735897, 'lng': -73.987652}]",40.73586035408156,-73.98759305477142,10003,8.2,Yama Japanese Restaurant,v-1592882895,
47,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",299694,/delivery_provider_seamless_20180129.png,https://fastly.4sqi.net/img/general/cap/,"[40, 50]",seamless,https://www.seamless.com/menu/chikurin-japanese-restaurant-1777-ocean-ave-brooklyn/299694?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=299694,False,4baab031f964a520fc7f3ae3,1777 Ocean Ave,US,Brooklyn,United States,at Ave M,11321,"['1777 Ocean Ave (at Ave M)', 'Brooklyn, NY 11230', 'United States']","[{'label': 'display', 'lat': 40.61873004377748, 'lng': -73.95481085897256}, {'label': 'entrance', 'lat': 40.618744, 'lng': -73.954855}]",40.61873004377748,-73.95481085897256,11230,7.1,Chikurin Japanese Restaurant,v-1592882895,
48,"[{'id': '4bf58dd8d48988d111941735', 'name': 'Japanese Restaurant', 'pluralName': 'Japanese Restaurants', 'shortName': 'Japanese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/japanese_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4f3289c419836c91c7e1946a,205 Allen St,US,New York,United States,,1807,"['205 Allen St', 'New York, NY 10002', 'United States']","[{'label': 'display', 'lat': 40.72266387939453, 'lng': -73.98906707763672}]",40.72266387939453,-73.98906707763672,10002,NaN,Win 49 Japanese Restaurant,v-1592882895,
49,"[{'id': '4bf58dd8d48988d1d2941735', 'name': 'Sushi Restaurant', 'pluralName': 'Sushi Restaurants', 'shortName': 'Sushi', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4bcb5030937ca593f44aa992,39-11 Queens Blvd,US,Sunnyside,United States,,7658,"['39-11 Queens Blvd', 'Sunnyside, NY 11104', 'United States']","[{'label': 'display', 'lat': 40.74433135986328, 'lng': -73.92537689208984}]",40.74433135986328,-73.92537689208984,11104,7.1,Chikurin Japanese Restaurant,v-1592882895,